,Company_Name,Ratings,Company_Type,Total_Employees,Sector,Total_Years,Head_Quaters,Total_Review_Count,Avg_salaries,Avg_Interview,Avg_Jobs,Benifits
0,TCS,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 55 years old , Mumbai +299 more,66.6k Reviews, 734.8k Salaries, 5.6k Interviews, 217  Jobs, 11.3k  Benefits
1,Accenture,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 34 years old , Dublin +148 more,42.5k Reviews, 513.1k Salaries, 3.8k Interviews, 4.2k  Jobs, 7k  Benefits
2,Cognizant,3.8,IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 29 years old , Teaneck. New Jersey. +123 more,38.4k Reviews, 496.8k Salaries, 3.3k Interviews, 500  Jobs, 5.7k  Benefits
3,Wipro,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 78 years old , Bangalore/Bengaluru +253 more,35.4k Reviews, 370.5k Salaries, 3.3k Interviews, 326  Jobs, 4.9k  Benefits
4,ICICI Bank,3.8,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1215 more,30.9k Reviews, 136k Salaries, 1.7k Interviews, 214  Jobs, 3.7k  Benefits
5,HDFC Bank,3.8,Banking , 1 Lakh+ Employees , Public , 29 years old , Mumbai +1452 more,30.6k Reviews, 123.3k Salaries, 1.4k Interviews, 376  Jobs, 3.2k  Benefits
6,Infosys,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 42 years old , Bengaluru/Bangalore +148 more,29.1k Reviews, 413.1k Salaries, 4.5k Interviews, 776  Jobs, 5k  Benefits
7,Capgemini,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Paris +100 more,27k Reviews, 336.8k Salaries, 2.3k Interviews, 535  Jobs, 3.9k  Benefits
8,Tech Mahindra,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 37 years old , Pune +240 more,25.3k Reviews, 236.2k Salaries, 2.2k Interviews, 1.1k  Jobs, 3.5k  Benefits
9,HCLTech,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 32 years old , Noida +160 more,24.8k Reviews, 251.9k Salaries, 2.2k Interviews, 589  Jobs, 4k  Benefits
10,Genpact,3.8,IT Services & Consulting , 1 Lakh+ Employees , Public , 26 years old , New York +85 more,24.2k Reviews, 176k Salaries, 1.8k Interviews, 734  Jobs, 3.6k  Benefits
11,Axis Bank,3.8,Banking , 50k-1 Lakh Employees , Public , 30 years old , Mumbai +1246 more,20.3k Reviews, 93.9k Salaries, 999 Interviews, 299  Jobs, 2.1k  Benefits
12,Concentrix Corporation,3.8,BPO , 50k-1 Lakh Employees , Public , 40 years old , Fremont +97 more,20k Reviews, 99.4k Salaries, 987 Interviews, 171  Jobs, 3.2k  Benefits
13,Amazon,3.8,Internet , 1 Lakh+ Employees , Public , 29 years old , Seattle +410 more,19.2k Reviews, 116.7k Salaries, 3.2k Interviews, 691  Jobs, 4.1k  Benefits
14,Reliance Jio,3.8,Telecom , 50k-1 Lakh Employees , Public , 16 years old , Navi Mumbai +1112 more,18.5k Reviews, 63.3k Salaries, 1.1k Interviews, 166  Jobs, 2.5k  Benefits
15,IBM,3.8,Software Product , 50k-1 Lakh Employees , Public , 112 years old , Armonk +135 more,18.5k Reviews, 197.4k Salaries, 1.4k Interviews, 2.1k  Jobs, 2.7k  Benefits
16,Larsen & Toubro Limited,3.8,Engineering & Construction , 10k-50k Employees , Public , 85 years old , Mumbai +599 more,17.3k Reviews, 76.6k Salaries, 964 Interviews, 159  Jobs, 2.9k  Benefits
17,Reliance Retail,3.8,Retail , 1 Lakh+ Employees , 17 years old , Navi Mumbai +928 more,,16.7k Reviews, 53.8k Salaries, 1k Interviews, 262  Jobs, 1.9k  Benefits
18,HDB Financial Services,3.8,NBFC , 1 Lakh+ Employees , 16 years old , Ahmedabad +910 more,,16.3k Reviews, 49k Salaries, 524 Interviews, 112  Jobs, 1.5k  Benefits
19,Teleperformance,3.8,BPO , 50k-1 Lakh Employees , Forbes Global 2000 , 45 years old , Paris +140 more,15.8k Reviews, 73.8k Salaries, 1.1k Interviews, 245  Jobs, 1.9k  Benefits
20,Vodafone Idea,4.2,5k-10k Employees , Public , 5 years old , Mumbai +612 more,,14.6k Reviews, 62.4k Salaries, 400 Interviews, 361  Jobs, 2k  Benefits
21,BYJU'S,4.2,EdTech , 10k-50k Employees , Indian Unicorn , 12 years old , Bangalore +296 more,13.5k Reviews, 50.3k Salaries, 1.7k Interviews, 886  Jobs, 1.9k  Benefits
22,Deloitte,4.2,Accounting & Auditing , 1 Lakh+ Employees , 178 years old , London +148 more,,13.4k Reviews, 138.4k Salaries, 1.5k Interviews, 291  Jobs, 2.5k  Benefits
23,Kotak Mahindra Bank,4.2,Banking , 50k-1 Lakh Employees , Public , 20 years old , Mumbai +532 more,13k Reviews, 74k Salaries, 667 Interviews, 233  Jobs, 1.3k  Benefits
24,Reliance Industries ,4.2,Oil & Gas , Public , 46 years old , Navi Mumbai +608 more,,12.2k Reviews, 63.5k Salaries, 862 Interviews, 89  Jobs, 1.9k  Benefits
25,Bharti Airtel,4.2,Telecom , 10k-50k Employees , Public , 28 years old , Gurgaon/Gurugram +609 more,11.3k Reviews, 44.3k Salaries, 528 Interviews, 281  Jobs, 1.6k  Benefits
26,Tata Motors,4.2,Automobile , 10k-50k Employees , Public , 78 years old , Pune +431 more,10.4k Reviews, 42.2k Salaries, 679 Interviews, 18  Jobs, 1.7k  Benefits
27,Flipkart,4.2,Internet , 10k-50k Employees , Public , 16 years old , Bangalore +508 more,9k Reviews, 44.3k Salaries, 945 Interviews, 382  Jobs, 1.5k  Benefits
